"Year"|"Conf"|"Club"|"GP"|"PPG"|"Wpct"|"Lpct"|"Dpct"|"GFPG"|"GAPG"|"GDPG"|"W"|"L"|"D"|"GF"|"GA"|"GD"
"2013"|"East"|"PHI"|34|1.35|0.35|0.35|0.29|1.24|1.29|-0.06|12|12|10|42|44|-2
"2012"|"East"|"PHI"|34|1.06|0.29|0.53|0.18|1.09|1.32|-0.24|10|18|6|37|45|-8
"2013"|"West"|"POR"|34|1.68|0.41|0.15|0.44|1.59|0.97|0.62|14|5|15|54|33|21
"2012"|"West"|"POR"|34|1|0.24|0.47|0.29|1|1.65|-0.65|8|16|10|34|56|-22
"2012"|"West"|"RSL"|34|1.68|0.5|0.32|0.18|1.35|1.03|0.32|17|11|6|46|35|11
"2013"|"West"|"RSL"|34|1.65|0.47|0.29|0.24|1.68|1.21|0.47|16|10|8|57|41|16
"2013"|"West"|"SJ"|34|1.5|0.41|0.32|0.26|1.03|1.24|-0.21|14|11|9|35|42|-7
"2012"|"West"|"SJ"|34|1.94|0.56|0.18|0.26|2.12|1.26|0.85|19|6|9|72|43|29
"2013"|"West"|"SEA"|34|1.53|0.44|0.35|0.21|1.24|1.24|0|15|12|7|42|42|0
"2012"|"West"|"SEA"|34|1.65|0.44|0.24|0.32|1.5|0.97|0.53|15|8|11|51|33|18
"2012"|"East"|"SKC"|34|1.85|0.53|0.21|0.26|1.24|0.79|0.44|18|7|9|42|27|15
"2013"|"East"|"SKC"|34|1.71|0.5|0.29|0.21|1.38|0.88|0.5|17|10|7|47|30|17
"2013"|"East"|"TOR"|34|0.85|0.18|0.5|0.32|0.88|1.38|-0.5|6|17|11|30|47|-17
"2012"|"East"|"TOR"|34|0.68|0.15|0.62|0.24|1.06|1.82|-0.76|5|21|8|36|62|-26
"2012"|"West"|"VAN"|34|1.26|0.32|0.38|0.29|1.03|1.21|-0.18|11|13|10|35|41|-6
"2013"|"West"|"VAN"|34|1.41|0.38|0.35|0.26|1.56|1.32|0.24|13|12|9|53|45|8
"1999"|"West"|"CHI"|29|1.66|0.52|0.48|0|1.76|1.24|0.52|15|14|0|51|36|15
"2003"|"East"|"CHI"|30|1.77|0.5|0.23|0.27|1.77|1.43|0.33|15|7|8|53|43|10
"2009"|"East"|"CHI"|30|1.5|0.37|0.23|0.4|1.3|1.13|0.17|11|7|12|39|34|5
"2002"|"East"|"CHI"|28|1.32|0.39|0.46|0.14|1.54|1.36|0.18|11|13|4|43|38|5
"2008"|"East"|"CHI"|30|1.53|0.43|0.33|0.23|1.47|1.1|0.37|13|10|7|44|33|11
"2010"|"East"|"CHI"|30|1.2|0.3|0.4|0.3|1.23|1.27|-0.03|9|12|9|37|38|-1
"2011"|"East"|"CHI"|34|1.26|0.26|0.26|0.47|1.35|1.32|0.03|9|9|16|46|45|1
"1998"|"West"|"CHI"|30|1.87|0.6|0.4|0|2.07|1.5|0.57|18|12|0|62|45|17
"2006"|"East"|"CHI"|32|1.47|0.41|0.34|0.25|1.34|1.28|0.06|13|11|8|43|41|2
"2007"|"East"|"CHI"|30|1.33|0.33|0.33|0.33|1.03|1.2|-0.17|10|10|10|31|36|-5
"2005"|"East"|"CHI"|32|1.53|0.47|0.41|0.12|1.53|1.56|-0.03|15|13|4|49|50|-1
"2004"|"East"|"CHI"|30|1.1|0.27|0.43|0.3|1.2|1.47|-0.27|8|13|9|36|44|-8
"2007"|"West"|"CHV"|30|1.77|0.5|0.23|0.27|1.53|0.93|0.6|15|7|8|46|28|18
"2005"|"West"|"CHV"|32|0.56|0.12|0.69|0.19|0.97|2.09|-1.12|4|22|6|31|67|-36
"2006"|"West"|"CHV"|32|1.34|0.31|0.28|0.41|1.41|1.31|0.09|10|9|13|45|42|3
"2008"|"West"|"CHV"|30|1.43|0.4|0.37|0.23|1.33|1.37|-0.03|12|11|7|40|41|-1
"2009"|"West"|"CHV"|30|1.5|0.43|0.37|0.2|1.13|1.03|0.1|13|11|6|34|31|3
"2011"|"West"|"CHV"|34|1.06|0.24|0.41|0.35|1.21|1.26|-0.06|8|14|12|41|43|-2
"2010"|"West"|"CHV"|30|0.93|0.27|0.6|0.13|1.03|1.5|-0.47|8|18|4|31|45|-14
"1997"|"West"|"COL"|30|1.27|0.4|0.6|0|1.67|1.97|-0.3|12|18|0|50|59|-9
"1998"|"West"|"COL"|30|1.47|0.47|0.53|0|2.07|2.3|-0.23|14|16|0|62|69|-7
"2008"|"West"|"COL"|30|1.27|0.37|0.47|0.17|1.47|1.5|-0.03|11|14|5|44|45|-1
"2011"|"West"|"COL"|34|1.44|0.35|0.26|0.38|1.29|1.21|0.09|12|9|13|44|41|3
"1999"|"West"|"COL"|26|1.85|0.54|0.46|0|1.46|1.5|-0.04|14|12|0|38|39|-1
"2002"|"West"|"COL"|28|1.54|0.46|0.39|0.14|1.54|1.71|-0.18|13|11|4|43|48|-5
"2010"|"West"|"COL"|30|1.53|0.4|0.27|0.33|1.47|1.07|0.4|12|8|10|44|32|12
"2009"|"West"|"COL"|30|1.33|0.33|0.33|0.33|1.4|1.27|0.13|10|10|10|42|38|4
